No. 1s,Fecha,INICIO,FINAL,TIEMPO DE PARO,CAUSA (DIGITAR EN MAYUSCULAS),PROCESO,HORAS TOTAL (H),Codigo ubicación tecnica,Tipo Paro,Imputación,AREA,PROCESO2,CLASE,NOMBRE RCA,AREA2,MES,AÑO
0,2022-01-01,00:00:00,05:15:00,05:15:00,PARADA PROGRAMADA DE PRODUCCION,CRUDO,5.25,EC01-361,PROGRAMA DE PRODUCCION,ALTO INVENTARIO,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,CRUDO,enero,2022
1,2022-01-01,02:58:00,04:58:00,02:00:00,TOLVAS LLENAS,CARBON,2.0,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS ,CARBON,enero,2022
0,2022-01-01,00:00:00,23:59:00,23:59:00,SILOS LLENOS ,CEMENTO,23.983333333333334,EC01-561,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,INVENTARIOS ALTOS ,CEMENTO,enero,2022
0,2022-01-01,00:00:00,07:00:00,07:00:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,7.0,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
0,2022-01-01,07:00:00,23:00:00,16:00:00,SIN ACTIVIDAD DE ZEMER,TRITURADORA,16.0,IA01-211,EXTERNO,Sin Imputacion,PROCESO,PROCESO,EXTERNO,SIN ACTIVIDAD DE ZEMER,TRITURADORA,enero,2022
1,2022-01-01,10:03:00,11:43:00,01:40:00,TOLVAS LLENAS,CARBON,1.666666666666666,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS,CARBON,enero,2022
0,2022-01-01,23:00:00,23:59:00,00:59:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,0.9833333333333325,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-01,15:53:00,18:27:00,02:34:00,PROGRAMADO PARA MONTAJE DE SCRAPERS,CARBON,2.5666666666666655,EC01-L61,MANTENIMIENTO PROGRAMADO,Sin Imputacion,MANTENIMIENTO,MANTENIMIENTO,PP,PROGRAMADO PARA MONTAJE DE SCRAPERS,CARBON,enero,2022
1,2022-01-01,15:46:00,15:48:00,00:02:00,CAMBIOS DE GIRO SEGUIDOS DE LA ROTARY 361VR01,CRUDO,0.033333333333333215,EC01-361-VR01,EXTERNO,VALVULA ROTATIVA,PROCESO,PROCESO,EXTERNO,CAMBIOS DE GIRO SEGUIDOS DE LA ROTARY 361VR01,CRUDO,enero,2022
1,2022-01-01,22:13:00,22:29:00,00:16:00,"TOLVA L61TY01 VACIA, POR CAMA DE RECLAMADOR  NO UNIFORME ",CARBON,0.2666666666666684,EC01-L61,OPERACION,Sin Imputacion,PROCESO,PROCESO,PROCESO,"TOLVA L61TY01 VACIA, POR CAMA DE RECLAMADOR  NO UNIFORME ",CARBON,enero,2022
